Clean one bedroom	1
AMAZING LESLIEVILLE APT!!! WON'T LAST!!!	
Available April Studio , parking available Downtown	
Br Unit At The Indx Condos at Bay And Richmond	
Markham Monarch Home 4+1 Detached + Finished Basement w/Home Theater	4
Fabulous Condos 2 Bedr, 224 King St W, Possession date: Immed	2
55 Floor. CORNER South-East unit. 9' ceiling. HUGE balcony. Locker.	
New Condos 1 Bedr, 38 Dan Leckie Way, ready for: 01-Mar-19	1
3 BDRM 2ND FLR, LIV ROOM, BRICK, LARGE CLOSETS, EAT-IN KIT, D/W, LNDRY	3
bachelor available  in the Annex!!	
Absolutely Stunning, 2 Bedroom, 2 Bathroom Stacked Townhouse	2
1 bedroom at Adelaide/John	1
New Condos 1 Bedr, 87 Peter St, Possession date: Immediately	1
1 Bedroom, 2 Level Townhome In The Electra Towns	1
Birchmount/7 1bed suite with locker, parking available April 20, 2019!	1
New 1 bedroom plus den condo at Queen W	1
Birchmount/7 1 bedroom suite with parking available immediately!	1
King and Dufferin bachelor short term rent 3.2 - 4.2	
Upscale Condo 1 Bedr, 10 Queens Quay, Move in: 01-Apr-19	1
Gorgeous and spacious 1 bedroom apartment.	1
Sunny And Bright 2 Bedroom Condo, Lake And Park View	2
7/Warden 1 bedroom suite with locker and parking available immediately	1
Warden/7 1 bedroom suite with locker and parking available immediately	1
Yonge/Sheppard 2 Beds X 2 Baths Corner Unit, Se View, Parking & Locker	2
1 b, plus den at Dundas / Spadina	1
Warden/7 1 bedroom suite with locker, parking available immediately!	1
Can be rented now 3 bdrm , parking available Toronto	3
Warden/Kennedy 1B+D 2bath suite, locker, parking available immediately	1
3 story brand new town house	
FURNISHED Tridel Condo 2 Bedroom+Solarium 2 Baths 2 Parkings, 1341SF	2
Beautiful new 1 Bedr, 15 Iceboat Terr, Possession date: Immed/Tba	1
1 Bedroom at Water Park City Neptune 2	1
Warden/7 1 bed+den suite with locker, parking available April 1, 2019!	1
Prime High Park Location! Furnished Home for Rent!	
Sunlit & Luxurious One + DEN (Usable 2nd Bedroom) in King West	2
Trendy One + DEN (Usable 2nd Bedroom) in Upscale Musee Condo w/PARKING	2
Sundrenched and Spacious TWO Bedroom in NEW AXIOM Condos	2
MAPLE LEAF SQUARE CONDOS - 65 BREMNER BLVD - 1 BEDROOM (VIDEO) $2100	1
Fabulous Condos 0 Bedr, 60 Colborne St, Possession date: Immediate	0
Sundrenched Two Bedroom Corner Unit in NEW SMART HOUSE Condos	2
Spacious and Sunlit One Bedroom in BRAND NEW NOIR CONDOS	1
Sundrenched and Spacious TWO Bedroom in BRAND NEW GRID Condo	2
Never Lived-In Menkes Built 1 Bedroom + Hardwood Floors -Cn Tower View	1
Ajax 3 Beds X 2 Baths Townhome + 2 Parkings, One Bus To Go Station	3
4 Bedroom Family Home On A 334' Deep Ravine Lot + Basement	4
1 Br + Den (can be 2nd Bedrm) In Downtown Toronto, Minutes To Subways	1
Maple Grove Model! 3 Bedroom Townhouse In Quiet Street - SS Appliances	3
Luxury units 0 Bedr, 100 Harbour St, Move in: Immediate	0
2 BED/2 BATH - BRAND NEW CONDO FOR RENT @ TORONTO | SUGAR BEACH PARK	2
1 BED / 1 BATH - LUXURIOUS CONDO FOR RENT @ TORONTO | DOWNTOWN	1
2 BED / 2 BATH- UPGRADED CONDO FOR RENT @ BRAMPTON|BRAMPTON GO STATION	2
2 BED/1 BATH-UPGRADED CONDO FOR RENT @TORONTO|YONGE AND BLOOR|DOWNTOWN	2
1 BED - UPGRADED CONDO FOR RENT @ TORONTO | GEORGE BROWN COLLEGE	1
4 BED/ 3 BATH -UPGRADED HOUSE FOR RENT@AJAX|HARDWOOD AVE N|WESTNEY RD	4
1 BED - UPGRADED CONDO FOR RENT @ TORONTO | HARBOURFRONT	1
2 BED+ DEN/3 BATH-1600 SQ FT TWO FLOOR CONDO FOR RENT@ TORONTO	2
1 BED - LUXURIOUS CONDO FOR RENT @ ETOBICOKE | HUMBER BAY	1
1+DEN/1BATH LUXURIOUS CONDO FOR RENT@ TORONTO | RYERSON UNIVERSITY	1
4 BED/4 BATH-SPACIOUS HOUSE FOR RENT @ RICHMOND HILL |BAYVIEW & M MACK	4
4+1 BED/3 BATH RENOVATED HOUSE FOR RENT @ TORONTO|YONGE & EGLINTON	4
1 BED /1 BATH LUXURIOUS CONDO FOR RENT @TORONTO|U OF T|YONGE & COLLEGE	1
BRIGHT & EFFICIENT STUDIO AT FESTIVAL TOWER!	
Two Bed Two Bath Corner Suite With Parking	2
Waterfront Communities Brand New Jr Bedroom Unit + 1 Locker Inc	
Beautiful new 1 Bedr, 75 Queens Wharf Rd, ready for: Immed	1
Annex Duplex Townhouse w Private Backyard	
Stunning Home in The Junction!	
Luxury Boutique Condo in Lawrence Park	
Gorgeous townhouse in King West	
Stunning South Riverdale Victorian Home	
Prime Location & Views!	
One of a Kind 2 Storey Loft Space	
All Inclusive Townhouse in King West!	
Serenity in the City at Quay West by Monarch	
Stunning Apartment Loaded with Character!	
1 BED + DEN - UPGRADED CONDO FOR RENT @ TORONTO | GEORGE BROWN COLLEGE	1
Brand New Condo Townhouse - 2 bedroom + Parking Incl	2
Dufferin/St Clair/Eglinton	
Scarborough Near Tuxedo and Markham Road 2 bdrm Available March	2
Renovated 2+1 Bungalow, Lower Level W/ Great Recreation Rm, Br/Office	2
ALL INCLUSIVE 1 bed 1 bath third floor apartment @ Bloor/Ossington	1
Bayview Village 1 Br+Den 1 Bath Condo - Steps To Subway, Ttc	1
Elegant Loft Living in Trendy Junction	
Never Lived In Tribute 4 Br Townhome Willoughby Model - Close To UOIT	4
Dalhousie & Dundas 1 Bedroom + 1 Locker - Steps To Eaton's Centre	1
3 Bedroom Townhome, 2 Levels, 2 Full Baths - Hardwood Floors	3
3 Bedroom Freehold Townhome On Private Enclave In Annex - Steps to UFT	3
Trinity Bellwoods 3 Bedrm Townhouse + Walk Out Finished Basement	3
ALL INCLUSIVE 2 bed 2 bath loft @ Queen/River (90 Sumach) parking	2
2 bed 3 bath 2-storey huge St Lawrence Market loft parking terrace	2
FURNISHED 1 bed 1 bath unit in the Argyle Lofts (Queen/Dovercourt)	1
2 bed 2 bath walk up @ spadina/college w private deck	2
ALL INCLUSIVE 2 bed 1 bath apartment @ College/Bathurst	2
2 bed 2 bath 2-storey Derby Loft unit @ King/Parliament parking	2
2 bed 2 bath renovated Bloor St apartment w parking	2
NEW 2 bed 1.5 bath townhouse @Queen/Dufferin w parking+rooftop terrace	2
2 BEDROOM PLUS DEN, 2 BATHROOM AT EAST LIBERTY & STRACHEN W/ PARKING	2
3 bed 2 bath Seaton Village renovated house apt w parking	3
1 bed 1 bath loft in Toy Factory Lofts (Liberty Village) w parking	1
FURNISHED 1 bed + den 1 bath 2-storey condo in Space Lofts inclusive	1
Awesome Condo at Bay/Harbour	
1 bed + den 2 bath 2-storey loft @ King/Niagra	1
ALL INCLUSIVE 1 bed 1 bath 2-storey couchhouse loft Queen & Gladstone	1
STUDIO APARTMENT IN BLOORDALE - RECENTLY RENOVATED	0
1 bed 1 bath 2-storey penthouse loft in Distillery ALL INCLUSIVE	1
FURNISHED 1 bed 1 bath basement apartment @ College/Ossington	1
Studio apartment W MURPHY BED in the Junction (Dundas/Quebec)+parking	0
1 bed 1 bath studio loft apt in the X Condos @King/River	1
Part FURNISHED Exclusive Townhouse 2 Beds+2 Baths+Parking+Locker	2
Clarington 5 Beds X 4 Baths Home with Double Car Garage	5
4 Bedroom townhouse near Martin Grove and The Westway for rent	4
2 BEDROOM, 2 BATHROOM AT KING AND STRACHAN W/ PARKING AND LOCKER	2
Annex: Spacious,bright,quiet penthouse suite(ParkingAvl). Gay OK	
2 BEDROOM PLUS DEN 3 BATHROOM AT FRONT AND SPADINA W/ PARKING	2
Awesome 2 Bed + 2 Bath Entertainment District Condo for Lease!	2
West Facing 1 Br w/ Balcony, 508SF, 9Ft Ceiling In Condo Park Tower	1
By Great Gulf - State Of The Art Bldg - 873SF, 2 Br+Den + Parking	2
Chic Boutique 1 Br+Den(can be 2nd Bdrm) 644SF+ Large Balcony	1
4028SF MODERN Executive Home In Thornhill Woods, 5 Bedrooms	5
At The Palisades! Corner Suite 2 Bed/2 Bath 1275SF, Locker & Parking	2
MODERN 2 Bedroom Suite In Downtown Toronto  S/S App+Laminate Floors	2
FULLY FURNISHED, SHORT/LONG TERM 2 BEDROOM, 2 BATHROOM W/ PARKING	2
FULLY FURNISHED 2 BEDROOM, 2 BATHROOM UNIT IN KING WEST W/ PARKING	2
Grid condos- 2bed/ 1 bath - Suite 10 - Move in now	2
FULLY FURNISHED 2 BEDROOM, 2 BATHROOM W/ PARKING IN FINANCEDISTRICT	2
2 BEDROOM PLUS DEN, 2 BATHROOM CORNER UNIT IN HEART OF DOWNTOWN	2
1 BEDROOM PLUS DEN, 1 BATHROOM IN DOWNTOWN CORE	1
FULYL FURNISHED, ALL INCLUDSIVE 1 BEDROOM DOUBLE DEN, 1 BATHROOM	1
2 BEDROOM, 2 BATHROOM IN HEART OF CITY INCLUDES LOCKER	2
MODERN 4 BEDROOM, 3 BATHROOM TOWNHOUSE IN ETOBICOKE	4
SHANGI-LA 2 BEDROOM, 3 BATHROOM W/ PARKING	2
3 BEDROOM, 2 BATHROOM W/ LOCKER IN BAY CHARLES TOWER	3
Bright Luxury Condo With 2 Bedrooms And 2 Full Bathrooms	2
Renovated 1 bedrooms with great location, available April 1 2019	1
Brampton Clark in Brampton 2bdrm Available March	2
3 Bed Penthouse Unobstructed CN Tower view Toronto	3
Great 2-bdrm + den in Liberty Village/King West	2
Studio - New build 87 Peter (king w) Move in now	0
Grid Condo- 12 unit (Ryerson) 1+Den (can be used as 2 bed) Move in now	2
Never lived in RAVEN - Move in Now 1 bed -87 Peter	1
Stunning New 3 Bedroom 2 Bathroom Townhome, Now Available!	3
Grid Condo - 1bed move in now (dundas E/Jarvis)	1
3 Bedroom Bungalow Utilities & 2 Parkings Spaces Included - Main Floor	3
Grid Condo Brand New never lived in one Bedroom + Den	1
Great 2 + Den (Den used as 3rd Bed) Condo for Rent Mar 1 - $2990	3
BRAND NEW 89 MCGILL STREET!1BED+DEN,1BATH,BALCONY,DOWNTOWN TORONTO	1
Lovely Furnished Basement Suite (ANNEX)	
$1950 Furnished Third Floor Apt. in Victorian Home (Annex)	
YONGE & COLLEGE: BRAND NEW 2 BEDROOM 2 BATH FOR RENT	2
2BR 2 Bath For Rent at Yonge & College	2
Penthouse Floor! Split Bedroom Design-2 Bedroom+Parking+Locker	2
BRAND NEW 1 BEDROOM FOR RENT AT YONGE & COLLEGE	1
amaing 2 bedrooms available with parking	2
Furnished Bachelor apartment	0
brand new 1 bedroom avaiable immediate	1
3 BDRM 2ND FLR, LIV ROOM, BRICK, LARGE CLOSETS, EAT-IN KIT, D/W, LNDRY	3
SPACIOUS 2 BEDROOMS IN GREAT AREA!	2
